bin,cont
553,0.0000
497,0.0086
173,0.0091
683,0.0000
131,0.0019
204,0.0000
119,0.0000
419,0.0000
368,0.0000
256,0.0018
301,0.0000
415,0.4014
621,0.2509
99,0.1604
622,0.5699
662,0.0000
355,0.0010
631,0.0000
325,0.0000
226,0.0000
500,0.0000
305,0.0000
450,0.0000
451,0.0070
44,0.0000
209,0.0041
243,0.1136
59,0.0565
347,0.4481
682,0.0000
353,0.0000
440,0.0009
463,0.0000
579,0.4603
426,0.0000
63,0.4645
391,0.2798
147,0.0137
643,0.0000
260,0.3829
493,0.0000
668,0.5986
674,0.0000
640,0.0020
359,0.0133
491,0.0000
215,0.0257
429,0.0000
246,0.5385
291,0.0026
264,0.4306
580,0.0163
313,0.0000
245,0.2105
302,0.0029
600,0.0000
644,0.0000
100,0.0000
282,0.0389
578,0.0000
267,0.0033
294,0.0000
376,0.6651
572,0.5029
411,0.5089
21,0.4912
203,0.0000
249,0.0125
388,0.0000
648,0.0497
552,0.3320
486,0.0000
168,0.4119
211,0.0000
601,0.3104
708,0.0000
629,0.0000
15,0.0000
52,0.0017
172,0.0000
569,0.4730
520,0.4686
401,0.2823
75,0.5500
208,0.0093
281,0.0000
107,0.0419
364,0.0000
178,0.0000
570,0.0000
536,0.2049
667,0.0000
702,0.0000
137,0.0255
396,0.0066
659,0.0012
132,0.2020
322,0.4473
198,0.0000
133,0.1431
206,0.0005
37,0.0000
428,0.0000
480,0.4999
300,0.0000
97,0.0000
62,0.0066
412,0.0054
610,0.2955
433,0.0030
341,0.4621
424,0.0000
652,0.0000
162,0.0024
559,0.0000
275,0.6440
630,0.0000
606,0.0000
699,0.0000
389,0.0000
58,0.0064
624,0.0000
725,0.0000
251,0.0000
16,0.0000
452,0.6185
627,0.0616
563,0.0000
697,0.0000
333,0.0000
285,0.3756
680,0.0564
43,0.0000
136,0.0173
30,0.0000
445,0.0000
390,0.0099
581,0.0205
193,0.0000
55,0.0000
115,0.0000
84,0.0128
695,0.0100
323,0.0000
612,0.0243
258,0.0000
457,0.0000
469,0.0000
346,0.0000
350,0.0464
286,0.0000
218,0.0000
672,0.0000
66,0.0032
593,0.0000
636,0.0039
80,0.1229
140,0.0227
492,0.0000
54,0.0000
46,0.3459
392,0.4832
544,0.0000
180,0.0000
434,0.0156
287,0.1375
642,0.0000
384,0.3722
704,0.0000
724,0.0000
227,0.0137
73,0.0000
289,0.0015
712,0.0026
199,0.5555
526,0.0448
161,0.0124
240,0.0050
124,0.0223
472,0.0350
562,0.0050
529,0.0000
314,0.0000
82,0.5561
647,0.0000
141,0.0000
92,0.0000
336,0.0000
607,0.0000
22,0.0000
74,0.0000
270,0.0000
143,0.0089
657,0.0000
8,0.0000
310,0.0079
39,0.0000
613,0.3474
151,0.0000
67,0.3225
547,0.0000
439,0.0000
135,0.0000
685,0.0000
494,0.1606
673,0.3118
468,0.0000
459,0.0046
101,0.0000
432,0.0912
12,0.0000
129,0.0000
113,0.0000
608,0.2845
239,0.0000
81,0.0000
262,0.0000
436,0.3922
27,0.0000
149,0.7008
363,0.0000
406,0.0948
588,0.0000
96,0.0000
585,0.0000
13,0.0000
701,0.0000
317,0.4489
114,0.0000
32,0.0000
216,0.0581
296,0.5149
273,0.0000
38,0.0000
512,0.0000
638,0.0345
510,0.0467
139,0.0979
307,0.0000
259,0.0000
88,0.2603
474,0.0003
152,0.0023
263,0.0000
626,0.0000
169,0.0016
126,0.4736
635,0.0000
213,0.0000
555,0.0000
481,0.2360
519,0.0000
242,0.0000
31,0.0000
94,0.0826
297,0.0000
235,0.0126
649,0.0084
118,0.0009
349,0.6943
461,0.4908
220,0.0000
25,0.0000
362,0.0000
584,0.0301
5,0.0000
543,0.2681
274,0.0024
466,0.0000
564,0.1137
6,0.0000
598,0.4748
