bin,cont
299,0.8264
271,0.0000
470,0.0000
252,0.0000
471,0.0000
95,0.0000
278,0.0000
184,0.0162
214,0.0000
482,0.0000
230,0.0000
441,0.2297
153,0.0000
501,0.3575
121,0.0466
65,0.0000
467,0.0000
60,0.0000
110,0.0000
495,0.0000
453,0.0234
148,0.0591
293,0.0000
309,0.1356
116,0.3124
399,0.0979
483,0.1842
381,0.0000
609,0.0226
511,0.0039
109,0.7065
18,0.0000
312,0.2297
502,0.0000
197,0.0372
414,0.0037
288,0.0104
318,0.0000
120,0.0000
458,0.0000
639,0.4290
542,0.0204
633,0.0154
430,0.0321
276,0.0000
279,0.1538
85,0.1106
372,0.0065
503,0.0000
489,0.0000
41,0.0000
316,0.0000
448,0.0000
24,0.4396
331,0.0926
332,0.2193
422,0.0123
145,0.0026
71,0.0000
91,0.0000
576,0.0000
232,0.7878
625,0.0000
187,0.1405
539,0.1053
365,0.2416
19,0.0017
375,0.0000
320,0.0000
212,0.0100
371,0.4511
591,0.0076
303,0.0000
7,0.0000
47,0.0000
342,0.0009
9,0.0730
57,0.0024
513,0.2381
334,0.0000
395,0.2189
551,0.3172
10,0.0000
443,0.0172
407,0.0055
29,0.0000
485,0.0000
517,0.0000
257,0.0000
509,0.0011
247,0.0036
496,0.0141
200,0.0118
568,0.0004
106,0.0000
369,0.3451
51,0.1871
477,0.0000
265,0.0022
423,0.2632
117,0.0784
473,0.0228
475,0.0069
34,0.0000
306,0.0000
653,0.0000
335,0.0163
597,0.0644
617,0.0000
35,0.3211
98,0.0140
508,0.0030
374,0.0034
531,0.1798
241,0.0000
210,0.3169
122,0.1266
599,0.0000
582,0.0000
283,0.0000
490,0.0000
28,0.0000
224,0.0000
328,0.0000
160,0.0000
89,0.0000
229,0.0000
527,0.0000
380,0.0066
222,0.0000
156,0.0017
590,0.0372
409,0.0000
167,0.0089
487,0.0060
393,0.0000
196,0.0000
284,0.2809
146,0.0018
387,0.4541
111,0.3430
338,0.0091
416,0.0000
248,0.1972
377,0.0000
304,0.0075
504,0.0000
611,0.1335
108,0.0000
575,0.0119
308,0.2410
268,0.0066
614,0.0000
134,0.4956
1,0.0000
548,0.0472
191,0.0000
3,0.0000
4,0.0000
72,0.2776
48,0.2722
49,0.0617
577,0.0000
205,0.0000
373,0.0000
596,0.0000
330,0.0117
315,0.0743
164,0.0000
541,0.4263
506,0.0066
295,0.6742
620,0.0000
125,0.0669
69,0.0000
464,0.0000
266,0.0000
567,0.0344
545,0.0000
83,0.0000
565,0.1218
561,0.0000
348,0.0000
339,0.0000
641,0.0000
86,0.3745
498,0.0000
207,0.1155
2,0.0000
183,0.0000
40,0.0000
351,0.0000
33,0.1540
408,0.0000
36,0.0000
524,0.0000
223,0.0000
344,0.0000
17,0.0151
521,0.0000
234,0.0000
238,0.0000
418,0.0000
421,0.5283
645,0.0000
185,0.0000
594,0.0000
404,0.0000
358,0.0273
437,0.0000
177,0.0179
637,0.3306
634,0.0304
361,0.0000
528,0.0000
352,0.0670
427,0.0000
514,0.1103
233,0.0000
225,0.0010
566,0.3620
444,0.0000
123,0.0196
367,0.3285
398,0.5091
602,0.0000
56,0.0000
556,0.0000
618,0.0000
534,0.0067
182,0.0000
435,0.0034
646,0.0000
253,0.0097
400,0.0000
535,0.0129
50,0.0000
138,0.0000
654,0.0000
530,0.0071
410,0.0104
326,0.0502
382,0.0292
460,0.0000
311,0.0000
175,0.0000
142,0.0000
128,0.0000
176,0.0000
189,0.0000
651,0.0000
190,0.0000
616,0.0000
619,0.2863
237,0.3403
417,0.0938
171,0.4848
170,0.0000
397,0.0000
586,0.0000
549,0.0000
446,0.0000
484,0.0022
356,0.1239
217,0.0206
188,0.0010
163,0.0000
221,0.0044
345,0.4495
557,0.0000
420,0.0844
403,0.0000
488,0.0000
604,0.0000
261,0.0000
550,0.0000
583,0.0000
195,0.5789
589,0.0000
507,0.0000
650,0.0000
290,0.0056
603,0.0806
104,0.0000
269,0.6225
90,0.0000
442,0.4127
454,0.0000
250,0.0077
272,0.3763
354,0.0000
431,0.1631
186,0.0011
23,0.0008
61,0.4925
144,0.1352
194,0.0000
394,0.0000
165,0.0140
655,0.0078
324,0.0000
379,0.0673
522,0.0000
45,0.0039
150,0.0000
615,0.0204
26,0.0000
505,0.0000
623,0.0000
546,0.0000
449,0.4803
219,0.0000
402,0.2741
